Ticker,Return [%],WinRate [%],MaxDD [%],Trades
APRE,0.0,0.0,-0.0,0
APTV,0.0,0.0,-0.0,0
APVO,0.0,0.0,-0.0,0
APWC,0.0,0.0,-0.0,0
APYX,0.0,0.0,-0.0,0
AQB,0.0,0.0,-0.0,0
AQMS,0.0,0.0,-0.0,0
AQN,0.0,0.0,-0.0,0
AQNB,0.0,0.0,-0.0,0
AQST,0.0,0.0,-0.0,0
AQWA,0.0,0.0,-0.0,0
AR,0.0,0.0,-0.0,0
ARAI,0.0,0.0,0.0,0
ARAY,0.0,0.0,-0.0,0
ARBB,0.0,0.0,-0.0,0
ARBE,0.0,0.0,-0.0,0
ARBEW,0.0,0.0,0.0,0
ARBK,0.0,0.0,-0.0,0
ARBKL,0.0,0.0,-0.0,0
ARCB,0.0,0.0,-0.0,0
ARCC,0.0,0.0,-0.0,0
ARCO,0.0,0.0,-0.0,0
ARCT,0.0,0.0,-0.0,0
ARDC,0.0,0.0,-0.0,0
ARDT,0.0,0.0,0.0,0
ARDX,0.0,0.0,-0.0,0
ARE,0.0,0.0,-0.0,0
AREB,0.0,0.0,-0.0,0
AREBW,0.0,0.0,0.0,0
AREC,0.0,0.0,-0.0,0
ARES,0.0,0.0,-0.0,0
ARES$B,0.0,0.0,0.0,0
ARGD,0.0,0.0,-0.0,0
ARGO$A,0.0,0.0,0.0,0
ARGX,0.0,0.0,-0.0,0
ARHS,0.0,0.0,-0.0,0
ARI,0.0,0.0,-0.0,0
ARIS,0.0,0.0,-0.0,0
ARKO,0.0,0.0,-0.0,0
ARKOW,0.0,0.0,0.0,0
ARKR,0.0,0.0,-0.0,0
ARL,0.0,0.0,-0.0,0
ARLO,0.0,0.0,-0.0,0
ARLP,0.0,0.0,-0.0,0
ARM,0.0,0.0,-0.0,0
ARMG,0.0,0.0,0.0,0
ARMK,0.0,0.0,-0.0,0
AROC,0.0,0.0,-0.0,0
AROW,0.0,0.0,-0.0,0
ARQ,0.0,0.0,-0.0,0
ARQQ,0.0,0.0,-0.0,0
ARQQW,0.0,0.0,-0.0,0
ARQT,0.0,0.0,-0.0,0
ARR,0.0,0.0,-0.0,0
ARR$C,0.0,0.0,0.0,0
ARRY,0.0,0.0,-0.0,0
ARTL,0.0,0.0,-0.0,0
ARTNA,0.0,0.0,-0.0,0
ARTV,0.0,0.0,0.0,0
ARTW,0.0,0.0,-0.0,0
ARVN,0.0,0.0,-0.0,0
ARVR,0.0,0.0,-0.0,0
ARW,0.0,0.0,-0.0,0
ARWR,0.0,0.0,-0.0,0
AS,0.0,0.0,-0.0,0
ASA,0.0,0.0,-0.0,0
ASAN,0.0,0.0,-0.0,0
ASB,0.0,0.0,-0.0,0
ASB$E,0.0,0.0,0.0,0
ASB$F,0.0,0.0,0.0,0
ASBA,0.0,0.0,-0.0,0
ASBP,0.0,0.0,-0.0,0
ASBPW,0.0,0.0,0.0,0
ASC,0.0,0.0,-0.0,0
ASET,0.0,0.0,-0.0,0
ASG,0.0,0.0,-0.0,0
ASGI,0.0,0.0,-0.0,0
ASGN,0.0,0.0,-0.0,0
ASH,0.0,0.0,-0.0,0
ASIC,0.0,0.0,0.0,0
ASIX,0.0,0.0,-0.0,0
ASLE,0.0,0.0,-0.0,0
ASMB,0.0,0.0,-0.0,0
ASMG,0.0,0.0,0.0,0
ASML,0.0,0.0,-0.0,0
ASND,0.0,0.0,-0.0,0
ASNS,0.0,0.0,-0.0,0
ASO,0.0,0.0,-0.0,0
ASPC,0.0,0.0,0.0,0
ASPCR,0.0,0.0,0.0,0
ASPCU,0.0,0.0,0.0,0
ASPI,0.0,0.0,-0.0,0
ASPN,0.0,0.0,-0.0,0
ASPS,0.0,0.0,-0.0,0
ASPSW,0.0,0.0,0.0,0
ASPSZ,0.0,0.0,0.0,0
ASR,0.0,0.0,-0.0,0
ASRT,0.0,0.0,-0.0,0
ASRV,0.0,0.0,-0.0,0
ASST,0.0,0.0,-0.0,0
ASTC,0.0,0.0,-0.0,0
ASTE,0.0,0.0,-0.0,0
ASTH,0.0,0.0,-0.0,0
ASTI,0.0,0.0,-0.0,0
ASTL,0.0,0.0,-0.0,0
ASTLW,0.0,0.0,0.0,0
ASTS,0.0,0.0,-0.0,0
ASUR,0.0,0.0,-0.0,0
ASX,0.0,0.0,-0.0,0
ASYS,0.0,0.0,-0.0,0
ATAI,0.0,0.0,-0.0,0
ATAT,0.0,0.0,-0.0,0
ATCO$H,0.0,0.0,0.0,0
ATEC,0.0,0.0,-0.0,0
ATEN,0.0,0.0,-0.0,0
ATER,0.0,0.0,-0.0,0
ATEX,0.0,0.0,-0.0,0
ATGE,0.0,0.0,-0.0,0
ATGL,0.0,0.0,-0.0,0
ATH$A,0.0,0.0,0.0,0
ATH$B,0.0,0.0,0.0,0
ATH$D,0.0,0.0,0.0,0
ATH$E,0.0,0.0,0.0,0
ATHA,0.0,0.0,-0.0,0
ATHE,0.0,0.0,-0.0,0
ATHM,0.0,0.0,-0.0,0
ATHR,0.0,0.0,0.0,0
ATHS,0.0,0.0,-0.0,0
ATI,0.0,0.0,-0.0,0
ATII,0.0,0.0,0.0,0
ATIIU,0.0,0.0,0.0,0
ATIIW,0.0,0.0,0.0,0
ATKR,0.0,0.0,-0.0,0
ATLC,0.0,0.0,-0.0,0
ATLCL,0.0,0.0,-0.0,0
ATLCP,0.0,0.0,-0.0,0
ATLCZ,0.0,0.0,-0.0,0
ATLN,0.0,0.0,-0.0,0
ATLO,0.0,0.0,-0.0,0
ATLX,0.0,0.0,-0.0,0
ATMC,0.0,0.0,-0.0,0
ATMCR,0.0,0.0,0.0,0
ATMCU,0.0,0.0,-0.0,0
ATMCW,0.0,0.0,0.0,0
ATMU,0.0,0.0,-0.0,0
ATMV,0.0,0.0,-0.0,0
ATMVR,0.0,0.0,0.0,0
ATMVU,0.0,0.0,-0.0,0
ATNF,0.0,0.0,-0.0,0
ATNFW,0.0,0.0,0.0,0
ATNI,0.0,0.0,-0.0,0
ATO,0.0,0.0,-0.0,0
ATOM,0.0,0.0,-0.0,0
ATOS,0.0,0.0,-0.0,0
ATPC,0.0,0.0,-0.0,0
ATR,0.0,0.0,-0.0,0
ATRA,0.0,0.0,-0.0,0
ATRC,0.0,0.0,-0.0,0
ATRO,0.0,0.0,-0.0,0
ATS,0.0,0.0,-0.0,0
ATUS,0.0,0.0,-0.0,0
ATXG,0.0,0.0,-0.0,0
ATXS,0.0,0.0,-0.0,0
ATYR,0.0,0.0,-0.0,0
AU,0.0,0.0,-0.0,0
AUB,0.0,0.0,-0.0,0
AUB$A,0.0,0.0,0.0,0
AUBN,0.0,0.0,-0.0,0
AUDC,0.0,0.0,-0.0,0
AUID,0.0,0.0,-0.0,0
AUMI,0.0,0.0,-0.0,0
AUNA,0.0,0.0,-0.0,0
AUPH,0.0,0.0,-0.0,0
AUR,0.0,0.0,-0.0,0
AURA,0.0,0.0,-0.0,0
AUROW,0.0,0.0,0.0,0
AUTL,0.0,0.0,-0.0,0
AUUD,0.0,0.0,-0.0,0
AUUDW,0.0,0.0,0.0,0
AVA,0.0,0.0,-0.0,0
AVAH,0.0,0.0,-0.0,0
AVAL,0.0,0.0,-0.0,0
AVAV,0.0,0.0,-0.0,0
AVB,0.0,0.0,-0.0,0
